title,director,genre_1,genre_2,actors,movie_release,average_rating,top_reviewer,top_review_rating,top_review_text,release_date
Midsommar,Ari Aster,Mystery,Drama,Florence Pugh,2019,3.8,andrea,5.0,i am SO glad ari aster clearly never went to therapy,2024-11-23
The Batman,Matt Reeves,Crime,Mystery,Robert Pattinson,2022,4.0,nick wibert,4.0,I just love how fucking disgusting Bruce looks in this. Nasty ass stringy ass translucently pale goth boy in his dank disgusting batcave hunched over his computer with bloodshot eyes and black eye paint scrolling through footage of the previous night and journaling his fucked up thoughts. When he finally emerges from the cave to talk to Alfred and gets disturbed by the natural sunlight and has to put on sunglasses I wanted to get up and cheer. Yeah that’s right put on those sunglasses you little freak. Also he’s definitely a virgin based on how he composes himself around Catwoman. Fucking fantastic movie,2024-11-24
Knives Out,Rian Johnson,Mystery,Comedy,Daniel Craig,2019,4.0,Patrick Willems,4.0,A movie as good as its sweaters (the sweaters are excellent),2024-11-25
The Dark Knight,Christopher Nolan,Action,Drama,Christian Bale,2008,4.5,cinemacl🎃wn,5.0,"If you do not like this movie, I do not like you.",2024-11-26
The Truman Show,Peter Weir,Comedy,Drama,Jim Carrey,1998,4.2,shay,5.0,if i lived in a town where everyone looked like a republican i'd wanna leave too,2024-11-27
Inception,Christopher Nolan,Action,Adventure,Leonardo DiCaprio,2010,4.2,ksenija,4.5,christopher nolan spent years writing this movie's complex plot and really named the main character dom cobb,2024-11-28
Saltburn,Emerald Fennell,Comedy,Drama,Barry Keoghan,2023,3.4,zoë rose bryant,4.5,a movie about how jacob elordi is simply so fucking hot that his mere existence is enough to make someone legally insane,2024-11-29
Poor Things,Yorgos Lanthimos,Romance,Science Fiction,Emma Stone,2023,4.0,Lara,4.5,barbie (2023) but for mentally ill people,2024-11-30
Spider-Man: Across the Spider-Verse,Justin K. Thompson,Animation,Adventure,Shameik Moore,2023,4.4,Karsten,0.0,“my holes can take me anywhere”,2024-12-01
American Psycho,Mary Harron,Crime,Thriller,Christian Bale,2000,3.8,lauren,4.0,"yes patrick bateman is an awful, terrible person who kills people but do you know what he doesn't do? let his friends get away with making anti-semitic statements",2024-12-02
Lady Bird,Greta Gerwig,Comedy,Drama,Saoirse Ronan,2017,3.8,Matt Singer,5.0,Two names. Two boyfriends. Two best friends. Two semesters. Two school plays. Two dances. Two parties. Two distinct relationships with her parents. Two potential colleges. Two churches. And a hundred million kajillion tears for the scene at the airport.,2024-12-03
Eternal Sunshine of the Spotless Mind,Michel Gondry,Science Fiction,Romance,Jim Carrey,2004,4.2,Karsten,4.5,this also happened when i dyed my hair,2024-12-04
Dune: Part Two,Denis Villeneuve,Adventure,Science Fiction,Timothée Chalamet,2024,4.4,Bryan Espitia,4.5,Need a friend like Stilgar to hype me up all the time,2024-12-05
The Wolf of Wall Street,Martin Scorsese,Comedy,Drama,Leonardo DiCaprio,2013,4.0,hunter strawberry,4.0,the most realistic thing about this movie is that leo dates a 22 year old,2024-12-06
The Grand Budapest Hotel,Wes Anderson,Drama,Comedy,Ralph Fiennes,2014,4.2,Houston Coley,5.0,"a movie about a girl, who reads a book about a man, who hears a story about a lobby boy, who meets a man who runs a hotel, a hotel for which the story, the book, and the movie are named for",2024-12-07
Spirited Away,Hayao Miyazaki,Family,Fantasy,Rumi Hiiragi,2001,4.5,🌻 lindsay 🌻,4.5,I got lost in a department store when I was 5 and it felt a lot like this,2024-12-08
The Menu,Mark Mylod,Comedy,Thriller,Anya Taylor-Joy,2022,3.5,sophie,4.0,never thought i would leave a film being surprised that cannibalism wasn't involved,2024-12-09
Spider-Man: No Way Home,Jon Watts,Action,Adventure,Tom Holland,2021,3.8,kait 𐚁₊⊹,5.0,This review may contain spoilers. I can handle the truth.,2024-12-10
The Shining,Stanley Kubrick,Horror,Thriller,Jack Nicholson,1980,4.2,👽 Zara 👽,5.0,"shelley duvall's performance in this film is one of the most intense and realistic portrayals of fear and terror i've ever seen and her skilled acting brought me to tears.
the fact that shelley duvall is constantly overlooked when ever i see anyone talk about this film is a fucking crime, especially considering the mental and emotional abuse kubrick caused her so she could maintain a realistic performance and critics didn't even mention her once upon this film's release, it's fucking disgraceful.
seriously, the lack of praise shelley has gotten in comparison to jack nicholson and other actors in the film is astounding and a goddamn crime. 
shelley i'm sorry that after all your hard work and suffering that you're… more",2024-12-11
Gone Girl,David Fincher,Drama,Mystery,Ben Affleck,2014,4.1,Wesley R. Ball,5.0,"Whenever I think about getting back together with my ex, I watch this film. Works like a charm every time.",2024-12-12
Black Swan,Darren Aronofsky,Drama,Thriller,Natalie Portman,2010,4.2,rudi,5.0,"Natalie Portman just ran up to me, screamed “gay rights!” in my face then turned into a bird and flew away... I’m not kidding",2024-12-13
Once Upon a Time... in Hollywood,Quentin Tarantino,Drama,Thriller,Leonardo DiCaprio,2019,3.8,Roberto_,5.0,"margot robbie: *smiles*
me: that was the best acting i've ever seen in my whole life",2024-12-14
Forrest Gump,Robert Zemeckis,Drama,Comedy,Tom Hanks,1994,4.1,Neil Bahadur,1.0,"This is like, some kind of weird, conservative fantasy. If watching this served any good purpose, it's a possibly vital reminder that the Clinton era was not as progressive as many of us might like to remember - the latter half of the 20th century in America through the eyes of a reactionary, nearly 50 years of social tumult regarded as just a brief phase of unrest before everything returns to 'normal,' - the Vietnam War, Black Panthers, and social justice activists regarded as a big joke, Jenny's character is subtly demonised - every decision she makes is the 'wrong' one, she doesn't find happiness until she bends to Forrest's will - Forrest is always 'right' - even though he does nothing but observe.",2024-12-15
Little Women,Greta Gerwig,Romance,History,Saoirse Ronan,2019,4.2,sree,5.0,"laurie: we look like a couple
jo: a couple of besties <3",2024-12-16
Inglourious Basterds,Quentin Tarantino,Drama,Thriller,Brad Pitt,2009,4.3,demi adejuyigbe,0.0,i would never invite hitler to my movie premiere. that guy is bad news,2024-12-17
Se7en,David Fincher,Crime,Mystery,Morgan Freeman,1995,4.3,Wes,4.5,"my mom said that this is the scariest film shes ever seen and she saw it while she was pregnant with me, and im 100% convinced she could have gone into stress-induced labor during the opening credits sequence so...thanks david fincher for coming for my life before i was even born",2024-12-18
Challengers,Luca Guadagnino,Drama,Romance,Zendaya,2024,4.0,patrick,4.5,may thy racket chip and shatter,2024-12-19
10 Things I Hate About You,Gil Junger,Comedy,Romance,Heath Ledger,1999,4.0,ciara,5.0,the moral of the story is that all men are evil except heath ledger and joseph gordon-levitt and honestly BIG MOOD!,2024-12-20
The Silence of the Lambs,Jonathan Demme,Horror,Crime,Jodie Foster,1991,4.3,issy 🥝,5.0,the scariest thing in this film is the close up shot of a nipple ring. god that goes through me. that is the peak of the horror genre,2024-12-21
Kill Bill: Vol. 1,Quentin Tarantino,Crime,Action,Uma Thurman,2003,4.2,clementine,5.0,tarantino’s casting call for this like “bad bitches only 😡🧍🏻‍♀️🚫”,2024-12-22
Avengers: Infinity War,Joe Russo,Action,Science Fiction,Robert Downey Jr.,2018,4.0,Hannah,3.0,peter parker would have a bomb-ass letterboxd account,2024-12-23
The Godfather,Francis Ford Coppola,Crime,Drama,Marlon Brando,1972,4.5,Hannah,0.0,haha they made that scene from zootopia into a movie,2024-12-24
Dead Poets Society,Peter Weir,Drama,,Robin Williams,1989,4.3,maria,4.5,i never thought i would be crying in the club over a bunch of rich look alike gay white boys but here we are,2024-12-25
Shutter Island,Martin Scorsese,Mystery,Drama,Leonardo DiCaprio,2010,4.1,shannon,4.0,I really relate to Leo in this because I also don't trust anyone that isn't Mark Ruffalo,2024-12-26
Call Me by Your Name,Luca Guadagnino,Romance,Drama,Armie Hammer,2017,3.9,#1 gizmo fan,5.0,"“I remember everything.”
I remember everything. I couldn’t put this film into words if I tried. I couldn’t ever review this, or even explain how personal this felt to me. Every kiss, every movement, every laugh, every dance, every look, goodbye, embrace. If I could, I couldn’t even begin. 
“I remember everything.”",2024-12-27
Baby Driver,Edgar Wright,Crime,Action,Ansel Elgort,2017,3.7,olivia 🧸🍊,5.0,The fault in our cars,2024-12-28
Avengers: Endgame,Anthony Russo,Science Fiction,Action,Robert Downey Jr.,2019,3.9,davidehrlich,4.0,"INFINITY WAR: unwatchable space trash. one of the worst movies in the MCU.
ENDGAME: a genuinely touching (and cleverly self-reflexive) mega-spectacle about how it feels to fail the people you love. one of the best movies in the MCU.
i don’t make the rules!
glad that the entire genre of superhero movies could end on a high note.
(longer, spoilery thoughts to come on friday)",2024-12-29
Django Unchained,Quentin Tarantino,Drama,Western,Jamie Foxx,2012,4.3,Jay,5.0,me when christoph waltz smoothly talks his way out of death threatening situations: thats my aesthetic that is what i want to achieve,2024-12-30
Hereditary,Ari Aster,Thriller,Horror,Toni Collette,2018,4.0,beck,4.0,if anyone ever clicks their tongue around me again i’m calling the police,2024-12-31
Ratatouille,Brad Bird,Animation,Family,Patton Oswalt,2007,4.2,Sarah,4.5,who the fuck kills rats with a gun,2025-01-01
Glass Onion,Rian Johnson,Comedy,Crime,Daniel Craig,2022,3.4,tetra,0.0,calling it glass onion is such a coward's way to avoid calling it chives out,2025-01-02
Fantastic Mr. Fox,Wes Anderson,Family,Adventure,George Clooney,2009,4.3,andrea🌹,4.5,how does steven soderbergh sleep at night knowing the best movie in the ocean's trilogy is a stop-motion puppet animation directed by wes anderson,2025-01-03
Her,Spike Jonze,Science Fiction,Drama,Joaquin Phoenix,2013,4.0,Jay,4.0,the bible says adam and eve not florence and the machine,2025-01-04
The Social Network,David Fincher,Drama,,Jesse Eisenberg,2010,3.9,Lucy,5.0,"rooney mara absentmindedly adding ""good luck with your... video game"" after verbally ripping his ass to shreds in front of an entire restaurant is EASILY one of the best lines of dialogue in the last decade of cinema",2025-01-05
Scott Pilgrim vs. the World,Edgar Wright,Comedy,Romance,Michael Cera,2010,3.9,#1 gizmo fan,5.0,"I relate to Scott Pilgrim because I'm 
1. actually the worst
2. not good with relationships
3. a total asshole
4. afraid of confrontation 
5. not worthy of the people in my life
6. cute kinda ugly
7. surprisingly good at kicking ass",2025-01-06
The Matrix,Lana Wachowski,Science Fiction,Action,Keanu Reeves,1999,4.2,Karsten,5.0,i can also do a backflip,2025-01-07
Nope,Jordan Peele,Mystery,Science Fiction,Daniel Kaluuya,2022,3.7,James (Schaffrillas),4.0,Um if it's so hard to get footage of this thing then how did the cameraman of the movie get footage of it so often 🤔🤔🤔,2025-01-08
Taxi Driver,Martin Scorsese,Drama,Crime,Robert De Niro,1976,4.2,Andrew Boley,5.0,"I find it strange that this movie is so popular. I see 'bros' quoting it and they always have this next to Goodfellas and The Sopranos and Entourage in their collection of movies(as do I). I think a lot of people like it for the wrong reasons. They like the violence and the guns and DENIRO. But for me this is the quintessential art house film: ambiguous in it's meaning, a meandering story with no plot in sight, a protagonist that has more psychological disorders than Edward Norton in Fight Club and every character except the Presidential campaign’s employees are completely fucked up. But I'm not giving these 'bros' enough credit, maybe they feel just as lonely as Travis Bickle and… more",2025-01-09
Inside Out,Pete Docter,Comedy,Family,Amy Poehler,2015,3.8,Ellie ✨,4.5,it's unfortunate that i'm 19 now and still have a tragic vampire romance island,2025-01-10
The Perks of Being a Wallflower,Stephen Chbosky,Drama,,Logan Lerman,2012,3.9,siobhan,4.0,if paul rudd was my english teacher he would be the only friend i need in high school tbh,2025-01-11
Inside Out 2,Kelsey Mann,Comedy,Drama,Amy Poehler,2024,3.6,KaoPun,4.0,Where's Horny??????,2025-01-12
Good Will Hunting,Gus Van Sant,Drama,,Matt Damon,1997,4.3,ciara,5.0,will never be able to wrap my head around the fact that matt damon and ben affleck wrote this screenplay they literally look like they have one brain cell between the two of them,2025-01-13
(500) Days of Summer,Marc Webb,Romance,Comedy,Joseph Gordon-Levitt,2009,3.7,samantha,4.0,"ROSES ARE RED
VIOLETS ARE BLUE
FUCK YOU WHORE",2025-01-14
Guardians of the Galaxy,James Gunn,Adventure,Action,Chris Pratt,2014,3.8,Patrick Willems,4.0,Look I've been rewatching the whole MCU and the upgrade in style and personality with this movie is unreal.,2025-01-15
Jojo Rabbit,Taika Waititi,War,Drama,Roman Griffin Davis,2019,4.0,emily,4.0,"sorry tarantino, taika’s the only director that can give me chills by filming a woman’s feet",2025-01-16
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Fantasy,Adventure,Elijah Wood,2001,4.4,fran hoepfner,5.0,I 😭 would 😭 have 😭 followed 😭 you 😭 my 😭 brother 😭 my 😭 captain 😭 my 😭 king 😭,2025-01-17
Blade Runner 2049,Denis Villeneuve,Science Fiction,Drama,Ryan Gosling,2017,4.1,demi adejuyigbe,4.5,No greater example of the Monkey’s Paw than “and Jared Leto” rolling on the credits of this bad boy. You know he shot his two scenes on his own? Just set up a Sony Handicam in his pool room and improvised. Emailed two .WMV files to Villeneuve like “lemme know if this works.” Script wasn’t even written yet. That guy’s twisted.,2025-01-18
The Shawshank Redemption,Frank Darabont,Crime,Drama,Tim Robbins,1994,4.6,Peaceful Stoner,5.0,"If you ever feel down,
If you ever feel like giving up,
If you ever feel like nothing is gonna workout,
If you ever feel hopeless,
If you ever feel like dying,



Watch this film. It is a miraculous medicine. It is a wonderful movie.",2025-01-19
Arrival,Denis Villeneuve,Science Fiction,Mystery,Amy Adams,2016,4.1,cathy,5.0,"memory is a strange thing. for example, i remember amy adams's performance as being one of the best of 2016, but the academy seemed to remember differently",2025-01-20
